datetime,open,high,low,close,volume
2021-10-22,2.141,2.208,2.133,2.158,121842.2
2021-10-23,2.158,2.18,2.141,2.157,103037.4
2021-10-24,2.157,2.162,2.1,2.121,131466.3
2021-10-25,2.121,2.182,2.116,2.152,188189.8
2021-10-26,2.152,2.205,2.13,2.136,255700.5
2021-10-27,2.136,2.158,1.822,1.913,429508.3
2021-10-28,1.913,2.062,1.908,1.996,280040.6
2021-10-29,1.996,2.052,1.986,2.021,375436.1
2021-10-30,2.021,2.028,1.937,1.96,298722.7
2021-10-31,1.96,2.034,1.926,1.97,271107.2
2021-11-01,1.97,2.02,1.92,1.954,330610.5
2021-11-02,1.954,2.0,1.944,1.974,319613.7
2021-11-03,1.974,2.153,1.958,2.072,662919.89
2021-11-04,2.072,2.111,1.951,1.991,497998.91
2021-11-05,1.991,2.027,1.968,1.989,745940.23
2021-11-06,1.989,2.043,1.951,2.011,703700.71
2021-11-07,2.011,2.043,1.988,2.029,447654.24
2021-11-08,2.029,2.149,2.018,2.136,879820.29
2021-11-09,2.136,2.386,2.116,2.278,1252294.66
2021-11-10,2.278,2.339,1.948,2.11,1030486.47
2021-11-11,2.11,2.164,2.077,2.09,617422.89
2021-11-12,2.09,2.111,2.003,2.051,667783.2
2021-11-13,2.051,2.081,2.023,2.054,358816.11
2021-11-14,2.054,2.072,2.012,2.039,249953.62
2021-11-15,2.039,2.091,2.014,2.019,289754.04
2021-11-16,2.019,2.019,1.765,1.873,1137110.52
2021-11-17,1.873,1.89,1.8,1.877,571800.41
2021-11-18,1.877,1.908,1.703,1.785,920998.87
2021-11-19,1.785,1.889,1.753,1.86,619131.05
2021-11-20,1.86,1.953,1.856,1.916,532469.37
2021-11-21,1.916,1.919,1.827,1.832,573411.38
2021-11-22,1.832,1.833,1.754,1.772,510472.36
2021-11-23,1.772,1.812,1.739,1.748,472197.44
2021-11-24,1.748,1.749,1.583,1.658,1031562.0700000001
2021-11-25,1.658,1.744,1.615,1.669,879243.2
2021-11-26,1.669,1.681,1.496,1.529,1312561.66
2021-11-27,1.529,1.583,1.528,1.544,461241.95
2021-11-28,1.544,1.597,1.421,1.594,862890.18
2021-11-29,1.594,1.634,1.555,1.599,558146.32
2021-11-30,1.599,1.626,1.545,1.552,901890.4
2021-12-01,1.552,1.623,1.532,1.546,824390.85
2021-12-02,1.546,1.759,1.517,1.72,1363411.66
2021-12-03,1.72,1.73,1.517,1.556,1496902.58
2021-12-04,1.556,1.557,1.191,1.421,2666840.5
2021-12-05,1.421,1.433,1.285,1.378,1122267.8
2021-12-06,1.378,1.436,1.254,1.42,1310106.32
2021-12-07,1.42,1.477,1.368,1.377,1779027.31
2021-12-08,1.377,1.422,1.339,1.394,1811772.03
2021-12-09,1.394,1.408,1.288,1.29,1996050.6
2021-12-10,1.29,1.333,1.208,1.209,1541299.83
2021-12-11,1.209,1.361,1.193,1.351,1609410.69
2021-12-12,1.351,1.413,1.32,1.345,1507561.27
2021-12-13,1.345,1.357,1.201,1.223,2126628.01
2021-12-14,1.223,1.282,1.2,1.265,2771033.12
2021-12-15,1.265,1.331,1.205,1.311,2505480.28
2021-12-16,1.311,1.33,1.237,1.239,1358492.59
2021-12-17,1.239,1.259,1.183,1.218,4411965.09
2021-12-18,1.218,1.267,1.2,1.242,3741927.2
2021-12-19,1.242,1.312,1.241,1.244,5298327.24
2021-12-20,1.244,1.261,1.202,1.238,6971583.72
2021-12-21,1.238,1.288,1.226,1.28,5302462.61
2021-12-22,1.28,1.367,1.276,1.326,5566666.62
2021-12-23,1.326,1.489,1.308,1.473,7029560.25
2021-12-24,1.473,1.49,1.382,1.391,5659629.7299999995
2021-12-25,1.391,1.459,1.382,1.453,1378411.33
2021-12-26,1.453,1.467,1.41,1.453,1827325.98
2021-12-27,1.453,1.592,1.45,1.514,2522493.84
2021-12-28,1.514,1.539,1.377,1.399,4120097.57
2021-12-29,1.399,1.437,1.323,1.33,2732859.4899999998
2021-12-30,1.33,1.377,1.298,1.359,2106034.35
2021-12-31,1.359,1.382,1.282,1.307,2741231.39
2022-01-01,1.308,1.38,1.307,1.378,1355680.18
