datetime,open,high,low,close,volume
2021-10-22 00:00:00,2.141,2.169,2.133,2.164,3025.4
2021-10-22 01:00:00,2.164,2.178,2.161,2.164,3413.8999999999996
2021-10-22 02:00:00,2.164,2.176,2.161,2.167,1234.1
2021-10-22 03:00:00,2.167,2.194,2.167,2.185,3244.9
2021-10-22 04:00:00,2.185,2.192,2.185,2.187,6356.7
2021-10-22 05:00:00,2.187,2.198,2.186,2.197,5894.4
2021-10-22 06:00:00,2.197,2.2,2.186,2.188,1768.1000000000001
2021-10-22 07:00:00,2.188,2.202,2.187,2.198,12072.6
2021-10-22 08:00:00,2.198,2.207,2.195,2.197,7752.2
2021-10-22 09:00:00,2.197,2.199,2.182,2.182,8698.6
2021-10-22 10:00:00,2.182,2.197,2.182,2.19,3438.5
2021-10-22 11:00:00,2.19,2.208,2.188,2.192,4203.0
2021-10-22 12:00:00,2.192,2.197,2.188,2.192,3295.6000000000004
2021-10-22 13:00:00,2.192,2.201,2.174,2.174,8150.400000000001
2021-10-22 14:00:00,2.174,2.174,2.147,2.167,8352.3
2021-10-22 15:00:00,2.167,2.183,2.147,2.151,10625.1
2021-10-22 16:00:00,2.151,2.155,2.142,2.151,3680.7999999999997
2021-10-22 17:00:00,2.151,2.153,2.151,2.153,5813.8
2021-10-22 18:00:00,2.153,2.183,2.152,2.16,4971.599999999999
2021-10-22 19:00:00,2.16,2.17,2.152,2.165,3243.2
2021-10-22 20:00:00,2.165,2.181,2.157,2.162,4931.2
2021-10-22 21:00:00,2.162,2.17,2.152,2.153,2252.7
2021-10-22 22:00:00,2.153,2.166,2.152,2.163,2171.7
2021-10-22 23:00:00,2.163,2.165,2.154,2.158,3251.4
2021-10-23 00:00:00,2.158,2.164,2.151,2.159,3078.2
2021-10-23 01:00:00,2.159,2.159,2.155,2.158,3611.2999999999997
2021-10-23 02:00:00,2.158,2.165,2.155,2.164,4339.9
2021-10-23 03:00:00,2.164,2.167,2.155,2.162,2283.6
2021-10-23 04:00:00,2.162,2.173,2.161,2.167,2590.2
2021-10-23 05:00:00,2.167,2.173,2.161,2.161,11096.9
2021-10-23 06:00:00,2.161,2.164,2.152,2.163,3880.5
2021-10-23 07:00:00,2.163,2.18,2.161,2.176,5836.8
2021-10-23 08:00:00,2.176,2.18,2.166,2.171,3098.8
2021-10-23 09:00:00,2.171,2.176,2.151,2.16,5102.6
2021-10-23 10:00:00,2.16,2.164,2.15,2.153,2994.4
2021-10-23 11:00:00,2.153,2.168,2.141,2.165,3732.7
2021-10-23 12:00:00,2.165,2.168,2.164,2.165,7865.900000000001
2021-10-23 13:00:00,2.165,2.165,2.153,2.156,3507.2999999999997
2021-10-23 14:00:00,2.156,2.162,2.155,2.16,3450.2
2021-10-23 15:00:00,2.16,2.172,2.156,2.168,4660.9
2021-10-23 16:00:00,2.168,2.175,2.157,2.159,5493.6
2021-10-23 17:00:00,2.159,2.164,2.156,2.158,3665.8
2021-10-23 18:00:00,2.158,2.158,2.153,2.156,4960.0
2021-10-23 19:00:00,2.156,2.157,2.145,2.147,3015.9
2021-10-23 20:00:00,2.147,2.156,2.145,2.156,3585.5
2021-10-23 21:00:00,2.156,2.158,2.149,2.157,3711.7
2021-10-23 22:00:00,2.157,2.158,2.153,2.154,3398.5
2021-10-23 23:00:00,2.154,2.158,2.153,2.157,4076.2000000000003
2021-10-24 00:00:00,2.157,2.159,2.155,2.155,2517.4
2021-10-24 01:00:00,2.155,2.162,2.155,2.158,2300.8
2021-10-24 02:00:00,2.158,2.161,2.142,2.156,18581.199999999997
2021-10-24 03:00:00,2.156,2.157,2.154,2.155,2487.9
2021-10-24 04:00:00,2.155,2.155,2.145,2.148,2337.3
2021-10-24 05:00:00,2.148,2.152,2.145,2.148,2520.6
2021-10-24 06:00:00,2.148,2.15,2.14,2.143,2315.6
2021-10-24 07:00:00,2.143,2.144,2.139,2.14,2668.5
2021-10-24 08:00:00,2.14,2.141,2.135,2.135,3084.8
2021-10-24 09:00:00,2.135,2.149,2.134,2.136,2361.0
2021-10-24 10:00:00,2.136,2.149,2.136,2.14,2915.6
2021-10-24 11:00:00,2.14,2.143,2.121,2.122,3195.1
2021-10-24 12:00:00,2.122,2.135,2.112,2.124,5632.8
2021-10-24 13:00:00,2.124,2.137,2.112,2.123,16749.100000000002
2021-10-24 14:00:00,2.123,2.128,2.115,2.115,2468.3
2021-10-24 15:00:00,2.115,2.127,2.11,2.111,21586.9
2021-10-24 16:00:00,2.111,2.124,2.1,2.118,7186.4
2021-10-24 17:00:00,2.118,2.127,2.117,2.121,3452.0
2021-10-24 18:00:00,2.121,2.121,2.1,2.104,6143.8
2021-10-24 19:00:00,2.104,2.128,2.103,2.122,2503.5
2021-10-24 20:00:00,2.122,2.13,2.115,2.13,2971.5
2021-10-24 21:00:00,2.13,2.134,2.121,2.125,4681.9
2021-10-24 22:00:00,2.125,2.131,2.12,2.126,4937.6
2021-10-24 23:00:00,2.126,2.128,2.114,2.121,5866.7
2021-10-25 00:00:00,2.121,2.139,2.116,2.136,3153.3
2021-10-25 01:00:00,2.136,2.147,2.131,2.133,3778.1
2021-10-25 02:00:00,2.133,2.14,2.13,2.137,2725.5
2021-10-25 03:00:00,2.137,2.146,2.135,2.142,2695.5
2021-10-25 04:00:00,2.142,2.147,2.135,2.145,27852.3
2021-10-25 05:00:00,2.145,2.148,2.145,2.147,3055.9
2021-10-25 06:00:00,2.147,2.148,2.143,2.145,3429.6
2021-10-25 07:00:00,2.145,2.165,2.144,2.161,16407.0
2021-10-25 08:00:00,2.161,2.164,2.135,2.155,14006.0
2021-10-25 09:00:00,2.155,2.159,2.151,2.154,2504.9
2021-10-25 10:00:00,2.154,2.159,2.13,2.143,8032.400000000001
2021-10-25 11:00:00,2.143,2.157,2.14,2.154,5352.0
2021-10-25 12:00:00,2.154,2.155,2.139,2.141,8199.3
2021-10-25 13:00:00,2.141,2.15,2.139,2.149,7433.6
2021-10-25 14:00:00,2.149,2.156,2.145,2.154,8542.5
2021-10-25 15:00:00,2.154,2.178,2.151,2.177,14929.6
2021-10-25 16:00:00,2.177,2.179,2.165,2.17,12850.5
2021-10-25 17:00:00,2.17,2.182,2.165,2.17,6268.799999999999
2021-10-25 18:00:00,2.17,2.171,2.16,2.162,6993.6
2021-10-25 19:00:00,2.162,2.164,2.16,2.161,3441.8
2021-10-25 20:00:00,2.161,2.162,2.148,2.151,15175.5
2021-10-25 21:00:00,2.151,2.156,2.147,2.152,2834.0
2021-10-25 22:00:00,2.152,2.158,2.152,2.155,2763.7
2021-10-25 23:00:00,2.155,2.157,2.152,2.152,5764.4
2021-10-26 00:00:00,2.152,2.164,2.152,2.163,7965.5
2021-10-26 01:00:00,2.163,2.17,2.153,2.161,3255.9
2021-10-26 02:00:00,2.161,2.191,2.159,2.191,3805.2999999999997
2021-10-26 03:00:00,2.191,2.2,2.185,2.186,27025.7
2021-10-26 04:00:00,2.186,2.194,2.172,2.181,6020.9
2021-10-26 05:00:00,2.181,2.2,2.18,2.19,2856.2
2021-10-26 06:00:00,2.19,2.19,2.172,2.172,4908.0
2021-10-26 07:00:00,2.172,2.188,2.172,2.183,9009.7
2021-10-26 08:00:00,2.183,2.2,2.183,2.194,3926.1
2021-10-26 09:00:00,2.194,2.195,2.17,2.186,7410.0
2021-10-26 10:00:00,2.186,2.19,2.18,2.187,13084.4
2021-10-26 11:00:00,2.187,2.188,2.181,2.181,5943.9
2021-10-26 12:00:00,2.181,2.186,2.17,2.171,14431.5
2021-10-26 13:00:00,2.171,2.177,2.17,2.176,8520.3
2021-10-26 14:00:00,2.176,2.176,2.159,2.159,7189.0
2021-10-26 15:00:00,2.159,2.163,2.153,2.162,17478.4
2021-10-26 16:00:00,2.162,2.164,2.152,2.156,8111.3
2021-10-26 17:00:00,2.156,2.178,2.155,2.173,7434.8
2021-10-26 18:00:00,2.173,2.18,2.165,2.168,15401.9
2021-10-26 19:00:00,2.168,2.186,2.167,2.17,10687.3
2021-10-26 20:00:00,2.17,2.19,2.17,2.187,24551.5
2021-10-26 21:00:00,2.187,2.205,2.155,2.16,18177.4
2021-10-26 22:00:00,2.16,2.162,2.13,2.137,23054.5
2021-10-26 23:00:00,2.137,2.145,2.131,2.136,5451.0
2021-10-27 00:00:00,2.136,2.149,2.13,2.145,18489.3
2021-10-27 01:00:00,2.145,2.155,2.14,2.14,3991.2
2021-10-27 02:00:00,2.14,2.148,2.139,2.145,4680.9
2021-10-27 03:00:00,2.145,2.151,2.139,2.146,6570.9
2021-10-27 04:00:00,2.146,2.158,2.136,2.151,6276.3
2021-10-27 05:00:00,2.151,2.156,2.143,2.144,8533.4
2021-10-27 06:00:00,2.144,2.152,2.13,2.131,19908.4
2021-10-27 07:00:00,2.131,2.135,2.103,2.103,13816.4
2021-10-27 08:00:00,2.103,2.106,1.822,2.0,80897.4
2021-10-27 09:00:00,2.0,2.0,1.914,1.957,35686.9
2021-10-27 10:00:00,1.957,1.991,1.935,1.987,15097.6
2021-10-27 11:00:00,1.987,2.016,1.978,1.983,13496.9
2021-10-27 12:00:00,1.983,2.014,1.973,2.007,7589.2
2021-10-27 13:00:00,2.007,2.016,1.979,1.986,16912.0
2021-10-27 14:00:00,1.986,2.003,1.962,1.993,85296.4
2021-10-27 15:00:00,1.993,1.997,1.963,1.97,9966.1
2021-10-27 16:00:00,1.97,1.984,1.941,1.974,17186.7
2021-10-27 17:00:00,1.974,1.997,1.964,1.968,11425.1
2021-10-27 18:00:00,1.968,1.98,1.95,1.952,6373.6
2021-10-27 19:00:00,1.952,1.953,1.905,1.943,11702.9
2021-10-27 20:00:00,1.943,1.962,1.922,1.941,13815.0
2021-10-27 21:00:00,1.941,1.966,1.939,1.953,5177.7
2021-10-27 22:00:00,1.953,1.962,1.94,1.95,4240.7
