datetime,open,high,low,close,volume
2021-10-22 00:00:00,2.141,2.169,2.133,2.169,2871.3
2021-10-22 00:45:00,2.169,2.178,2.156,2.17,2385.7
2021-10-22 01:30:00,2.17,2.178,2.161,2.171,1496.3
2021-10-22 02:15:00,2.171,2.176,2.165,2.167,920.1
2021-10-22 03:00:00,2.167,2.194,2.167,2.19,3111.7
2021-10-22 03:45:00,2.19,2.191,2.184,2.188,2480.7
2021-10-22 04:30:00,2.188,2.195,2.187,2.191,7422.2
2021-10-22 05:15:00,2.191,2.198,2.186,2.197,2481.3999999999996
2021-10-22 06:00:00,2.197,2.2,2.186,2.192,1106.4
2021-10-22 06:45:00,2.192,2.2,2.187,2.196,11536.0
2021-10-22 07:30:00,2.196,2.202,2.194,2.201,3453.5
2021-10-22 08:15:00,2.201,2.207,2.195,2.197,5497.0
2021-10-22 09:00:00,2.197,2.199,2.182,2.183,8137.8
2021-10-22 09:45:00,2.183,2.189,2.182,2.189,2379.3
2021-10-22 10:30:00,2.189,2.199,2.188,2.197,2202.8
2021-10-22 11:15:00,2.197,2.208,2.188,2.192,3620.2
2021-10-22 12:00:00,2.192,2.197,2.188,2.19,1705.6000000000001
2021-10-22 12:45:00,2.19,2.201,2.188,2.189,2801.0
2021-10-22 13:30:00,2.189,2.189,2.152,2.155,10210.800000000001
2021-10-22 14:15:00,2.155,2.168,2.147,2.167,5080.9
2021-10-22 15:00:00,2.167,2.183,2.147,2.157,10030.2
2021-10-22 15:45:00,2.157,2.163,2.142,2.151,2519.3
2021-10-22 16:30:00,2.151,2.153,2.151,2.152,4827.0
2021-10-22 17:15:00,2.152,2.153,2.152,2.153,2743.2
2021-10-22 18:00:00,2.153,2.183,2.152,2.17,3795.6
2021-10-22 18:45:00,2.17,2.17,2.152,2.17,2411.5
2021-10-22 19:30:00,2.17,2.181,2.152,2.169,3202.0
2021-10-22 20:15:00,2.169,2.171,2.157,2.162,3736.9
2021-10-22 21:00:00,2.162,2.17,2.161,2.166,1707.3
2021-10-22 21:45:00,2.166,2.166,2.152,2.153,1595.7
2021-10-22 22:30:00,2.153,2.166,2.152,2.161,1718.2
2021-10-22 23:15:00,2.161,2.165,2.154,2.158,2654.6
2021-10-23 00:00:00,2.158,2.164,2.151,2.153,2540.7
2021-10-23 00:45:00,2.153,2.159,2.153,2.158,2411.3
2021-10-23 01:30:00,2.158,2.164,2.155,2.155,2412.7
2021-10-23 02:15:00,2.155,2.165,2.155,2.164,3664.7
2021-10-23 03:00:00,2.164,2.167,2.155,2.16,1724.0
2021-10-23 03:45:00,2.16,2.173,2.159,2.173,1964.8
2021-10-23 04:30:00,2.173,2.173,2.163,2.166,6471.0
2021-10-23 05:15:00,2.166,2.167,2.161,2.161,5810.900000000001
2021-10-23 06:00:00,2.161,2.164,2.152,2.163,3327.9
2021-10-23 06:45:00,2.163,2.164,2.159,2.163,2152.6
2021-10-23 07:30:00,2.163,2.18,2.161,2.174,4791.8
2021-10-23 08:15:00,2.174,2.18,2.166,2.171,2543.8
2021-10-23 09:00:00,2.171,2.176,2.151,2.16,2539.4
2021-10-23 09:45:00,2.16,2.166,2.155,2.156,4093.7999999999997
2021-10-23 10:30:00,2.156,2.163,2.141,2.159,3201.1
2021-10-23 11:15:00,2.159,2.168,2.155,2.165,1995.4
2021-10-23 12:00:00,2.165,2.168,2.165,2.166,2157.6
2021-10-23 12:45:00,2.166,2.168,2.153,2.158,7635.099999999999
2021-10-23 13:30:00,2.158,2.162,2.154,2.159,2196.6
2021-10-23 14:15:00,2.159,2.162,2.155,2.16,2834.1
2021-10-23 15:00:00,2.16,2.172,2.156,2.167,3815.6
2021-10-23 15:45:00,2.167,2.175,2.156,2.174,2503.9
2021-10-23 16:30:00,2.174,2.174,2.156,2.16,4338.0
2021-10-23 17:15:00,2.16,2.164,2.156,2.158,3162.8
2021-10-23 18:00:00,2.158,2.158,2.155,2.156,4380.5
2021-10-23 18:45:00,2.156,2.158,2.145,2.148,2266.7
2021-10-23 19:30:00,2.148,2.153,2.145,2.152,1959.7
2021-10-23 20:15:00,2.152,2.156,2.145,2.156,2954.5
2021-10-23 21:00:00,2.156,2.158,2.149,2.157,3055.3
2021-10-23 21:45:00,2.157,2.158,2.156,2.157,2608.3
2021-10-23 22:30:00,2.157,2.158,2.153,2.156,2133.8
2021-10-23 23:15:00,2.156,2.158,2.155,2.157,3389.0
2021-10-24 00:00:00,2.157,2.159,2.155,2.155,1723.9
2021-10-24 00:45:00,2.155,2.162,2.155,2.16,2000.8
2021-10-24 01:30:00,2.16,2.162,2.156,2.157,1789.3
2021-10-24 02:15:00,2.157,2.161,2.142,2.156,17885.399999999998
2021-10-24 03:00:00,2.156,2.157,2.154,2.156,1949.7
2021-10-24 03:45:00,2.156,2.157,2.148,2.152,1715.6
2021-10-24 04:30:00,2.152,2.154,2.145,2.15,1706.9
2021-10-24 05:15:00,2.15,2.152,2.145,2.148,1973.6000000000001
2021-10-24 06:00:00,2.148,2.15,2.144,2.144,1721.0
2021-10-24 06:45:00,2.144,2.145,2.139,2.141,2206.8
2021-10-24 07:30:00,2.141,2.143,2.139,2.14,1641.2
2021-10-24 08:15:00,2.14,2.141,2.135,2.135,2499.9
2021-10-24 09:00:00,2.135,2.149,2.134,2.142,1750.9
2021-10-24 09:45:00,2.142,2.147,2.136,2.146,2402.4
2021-10-24 10:30:00,2.146,2.149,2.137,2.137,1784.2
2021-10-24 11:15:00,2.137,2.141,2.121,2.122,2534.2
2021-10-24 12:00:00,2.122,2.135,2.112,2.126,4404.8
2021-10-24 12:45:00,2.126,2.137,2.112,2.133,16620.7
2021-10-24 13:30:00,2.133,2.134,2.122,2.124,1983.1
2021-10-24 14:15:00,2.124,2.127,2.115,2.115,1841.6
2021-10-24 15:00:00,2.115,2.127,2.11,2.115,21035.5
2021-10-24 15:45:00,2.115,2.118,2.1,2.117,4851.7
2021-10-24 16:30:00,2.117,2.124,2.115,2.123,3692.7
2021-10-24 17:15:00,2.123,2.127,2.118,2.121,2645.4
2021-10-24 18:00:00,2.121,2.121,2.1,2.105,4619.3
2021-10-24 18:45:00,2.105,2.117,2.101,2.114,2821.6
2021-10-24 19:30:00,2.114,2.128,2.109,2.122,1786.6
2021-10-24 20:15:00,2.122,2.13,2.118,2.13,2391.3
2021-10-24 21:00:00,2.13,2.134,2.125,2.127,3919.2
2021-10-24 21:45:00,2.127,2.13,2.121,2.125,2866.7000000000003
2021-10-24 22:30:00,2.125,2.131,2.117,2.123,4614.8
2021-10-24 23:15:00,2.123,2.128,2.114,2.121,4085.5
2021-10-25 00:00:00,2.121,2.138,2.116,2.136,2604.9
2021-10-25 00:45:00,2.136,2.147,2.129,2.143,2130.6
2021-10-25 01:30:00,2.143,2.143,2.131,2.135,2775.1
2021-10-25 02:15:00,2.135,2.14,2.13,2.137,2146.3
2021-10-25 03:00:00,2.137,2.146,2.135,2.144,2051.5
2021-10-25 03:45:00,2.144,2.147,2.139,2.146,19246.5
2021-10-25 04:30:00,2.146,2.147,2.135,2.146,9945.9
2021-10-25 05:15:00,2.146,2.148,2.145,2.147,2359.8
2021-10-25 06:00:00,2.147,2.148,2.143,2.147,2484.2000000000003
2021-10-25 06:45:00,2.147,2.157,2.143,2.157,4484.7
2021-10-25 07:30:00,2.157,2.165,2.148,2.152,18731.5
2021-10-25 08:15:00,2.152,2.164,2.135,2.155,8142.2
2021-10-25 09:00:00,2.155,2.159,2.151,2.152,1838.4
2021-10-25 09:45:00,2.152,2.159,2.13,2.142,7335.3
2021-10-25 10:30:00,2.142,2.148,2.138,2.148,2100.6
2021-10-25 11:15:00,2.148,2.157,2.144,2.154,4615.0
2021-10-25 12:00:00,2.154,2.155,2.141,2.144,7110.7
2021-10-25 12:45:00,2.144,2.149,2.139,2.147,3425.6
2021-10-25 13:30:00,2.147,2.151,2.139,2.151,5814.700000000001
2021-10-25 14:15:00,2.151,2.156,2.147,2.154,7824.4
2021-10-25 15:00:00,2.154,2.161,2.151,2.159,8705.5
2021-10-25 15:45:00,2.159,2.179,2.156,2.17,13305.8
2021-10-25 16:30:00,2.17,2.17,2.165,2.166,7658.6
2021-10-25 17:15:00,2.166,2.182,2.165,2.17,4379.0
2021-10-25 18:00:00,2.17,2.171,2.16,2.16,6173.4
2021-10-25 18:45:00,2.16,2.164,2.16,2.162,2530.6
2021-10-25 19:30:00,2.162,2.162,2.161,2.162,3431.7999999999997
2021-10-25 20:15:00,2.162,2.162,2.148,2.151,13475.1
2021-10-25 21:00:00,2.151,2.156,2.147,2.153,2264.7
2021-10-25 21:45:00,2.153,2.154,2.152,2.154,2067.4
2021-10-25 22:30:00,2.154,2.158,2.152,2.153,2258.9
2021-10-25 23:15:00,2.153,2.154,2.152,2.152,4771.099999999999
2021-10-26 00:00:00,2.152,2.16,2.152,2.159,2708.1
2021-10-26 00:45:00,2.159,2.17,2.153,2.167,7273.8
2021-10-26 01:30:00,2.167,2.167,2.159,2.16,1983.1
2021-10-26 02:15:00,2.16,2.191,2.16,2.191,3061.7
2021-10-26 03:00:00,2.191,2.2,2.185,2.186,25529.5
2021-10-26 03:45:00,2.186,2.194,2.181,2.181,6206.400000000001
2021-10-26 04:30:00,2.181,2.189,2.172,2.187,1876.7
2021-10-26 05:15:00,2.187,2.2,2.187,2.19,2290.2
2021-10-26 06:00:00,2.19,2.19,2.176,2.178,4360.7
2021-10-26 06:45:00,2.178,2.181,2.172,2.181,5663.3
2021-10-26 07:30:00,2.181,2.2,2.18,2.197,5157.6
2021-10-26 08:15:00,2.197,2.2,2.194,2.194,2662.2
2021-10-26 09:00:00,2.194,2.195,2.17,2.185,5403.3
2021-10-26 09:45:00,2.185,2.189,2.18,2.187,10962.4
2021-10-26 10:30:00,2.187,2.19,2.181,2.182,4765.7
2021-10-26 11:15:00,2.182,2.188,2.181,2.181,5306.9
2021-10-26 12:00:00,2.181,2.186,2.17,2.17,13552.4
2021-10-26 12:45:00,2.17,2.177,2.17,2.176,5144.5
2021-10-26 13:30:00,2.176,2.177,2.159,2.162,8073.1
2021-10-26 14:15:00,2.162,2.163,2.159,2.159,3370.8
2021-10-26 15:00:00,2.159,2.163,2.153,2.162,15515.7
2021-10-26 15:45:00,2.162,2.164,2.154,2.159,8777.4
2021-10-26 16:30:00,2.159,2.162,2.152,2.16,2875.1
2021-10-26 17:15:00,2.16,2.178,2.159,2.173,5856.3
2021-10-26 18:00:00,2.173,2.18,2.165,2.168,14871.1
2021-10-26 18:45:00,2.168,2.174,2.166,2.171,1690.0
2021-10-26 19:30:00,2.171,2.186,2.169,2.175,10264.1
2021-10-26 20:15:00,2.175,2.19,2.172,2.187,23815.5
2021-10-26 21:00:00,2.187,2.205,2.17,2.171,12044.7
2021-10-26 21:45:00,2.171,2.174,2.15,2.154,10259.699999999999
2021-10-26 22:30:00,2.154,2.154,2.13,2.139,21117.8
2021-10-26 23:15:00,2.139,2.145,2.135,2.136,3260.7
2021-10-27 00:00:00,2.136,2.149,2.13,2.14,16531.8
2021-10-27 00:45:00,2.14,2.15,2.139,2.15,4253.4
2021-10-27 01:30:00,2.15,2.155,2.14,2.142,2513.9
2021-10-27 02:15:00,2.142,2.148,2.139,2.145,3862.3
2021-10-27 03:00:00,2.145,2.151,2.139,2.146,3751.1
2021-10-27 03:45:00,2.146,2.153,2.136,2.152,6621.4
2021-10-27 04:30:00,2.152,2.158,2.147,2.153,3627.6
2021-10-27 05:15:00,2.153,2.153,2.143,2.144,7380.5
2021-10-27 06:00:00,2.144,2.152,2.13,2.138,16897.7
2021-10-27 06:45:00,2.138,2.144,2.118,2.118,12911.0
2021-10-27 07:30:00,2.118,2.126,1.822,1.928,52093.4
2021-10-27 08:15:00,1.928,2.016,1.909,2.0,32720.1
2021-10-27 09:00:00,2.0,2.0,1.914,1.952,11021.1
2021-10-27 09:45:00,1.952,1.96,1.938,1.938,34646.5
2021-10-27 10:30:00,1.938,2.016,1.935,2.015,6780.0
2021-10-27 11:15:00,2.015,2.016,1.978,1.983,11833.8
2021-10-27 12:00:00,1.983,2.014,1.973,2.005,6347.4
2021-10-27 12:45:00,2.005,2.016,1.995,1.995,6522.1
2021-10-27 13:30:00,1.995,2.003,1.976,1.976,14513.300000000001
2021-10-27 14:15:00,1.976,2.003,1.962,1.993,82414.8
2021-10-27 15:00:00,1.993,1.997,1.963,1.966,7204.0
2021-10-27 15:45:00,1.966,1.979,1.941,1.941,13167.1
2021-10-27 16:30:00,1.941,1.988,1.941,1.988,8604.1
2021-10-27 17:15:00,1.988,1.997,1.964,1.968,9602.699999999999
2021-10-27 18:00:00,1.968,1.98,1.957,1.959,3877.8
2021-10-27 18:45:00,1.959,1.963,1.91,1.913,8380.6
2021-10-27 19:30:00,1.913,1.962,1.905,1.937,15429.900000000001
2021-10-27 20:15:00,1.937,1.943,1.922,1.941,4203.2
2021-10-27 21:00:00,1.941,1.962,1.939,1.961,4191.099999999999
2021-10-27 21:45:00,1.961,1.966,1.94,1.95,2884.7
2021-10-27 22:30:00,1.95,1.962,1.94,1.95,3220.4
2021-10-27 23:15:00,1.95,1.951,1.911,1.913,11499.5
2021-10-28 00:00:00,1.913,1.949,1.912,1.931,3509.3
2021-10-28 00:45:00,1.931,1.946,1.908,1.932,27470.8
2021-10-28 01:30:00,1.932,1.946,1.929,1.938,5794.3
2021-10-28 02:15:00,1.938,1.946,1.926,1.94,8192.1
2021-10-28 03:00:00,1.94,1.958,1.93,1.933,12508.0
2021-10-28 03:45:00,1.933,1.949,1.92,1.923,3186.9
2021-10-28 04:30:00,1.923,1.934,1.911,1.931,4772.5
2021-10-28 05:15:00,1.931,1.954,1.926,1.954,4534.7
2021-10-28 06:00:00,1.954,1.957,1.918,1.939,5939.3
2021-10-28 06:45:00,1.939,1.962,1.939,1.961,4939.0
2021-10-28 07:30:00,1.961,1.968,1.942,1.968,9162.6
2021-10-28 08:15:00,1.968,2.061,1.967,2.056,11688.9
2021-10-28 09:00:00,2.056,2.062,2.015,2.018,9760.199999999999
2021-10-28 09:45:00,2.018,2.041,2.018,2.026,16131.1
2021-10-28 10:30:00,2.026,2.028,2.008,2.01,9078.8
2021-10-28 11:15:00,2.01,2.013,2.0,2.005,5865.8
2021-10-28 12:00:00,2.005,2.022,2.0,2.016,14358.4
2021-10-28 12:45:00,2.016,2.028,2.01,2.026,11893.5
2021-10-28 13:30:00,2.026,2.038,2.017,2.022,4884.4
2021-10-28 14:15:00,2.022,2.04,2.011,2.04,2158.5
2021-10-28 15:00:00,2.04,2.04,2.017,2.017,17142.5
2021-10-28 15:45:00,2.017,2.036,2.012,2.029,3924.1
2021-10-28 16:30:00,2.029,2.029,2.014,2.019,3826.7
2021-10-28 17:15:00,2.019,2.025,2.006,2.017,21729.8
2021-10-28 18:00:00,2.017,2.017,1.971,1.973,15881.2
2021-10-28 18:45:00,1.973,2.003,1.973,1.998,6103.4
2021-10-28 19:30:00,1.998,2.026,1.993,2.026,5274.2
2021-10-28 20:15:00,2.026,2.033,2.01,2.014,9070.1
2021-10-28 21:00:00,2.014,2.014,1.992,1.998,5711.2
2021-10-28 21:45:00,1.998,2.004,1.988,1.995,3434.7
2021-10-28 22:30:00,1.995,2.007,1.991,2.003,8764.800000000001
2021-10-28 23:15:00,2.003,2.012,1.99,1.996,3348.8
2021-10-29 00:00:00,1.996,2.006,1.986,2.001,9711.800000000001
2021-10-29 00:45:00,2.001,2.028,2.001,2.025,10092.7
2021-10-29 01:30:00,2.025,2.052,2.018,2.034,7000.5
2021-10-29 02:15:00,2.034,2.036,2.018,2.02,6910.0
2021-10-29 03:00:00,2.02,2.038,2.018,2.03,5264.2
2021-10-29 03:45:00,2.03,2.032,2.025,2.028,3927.2000000000003
2021-10-29 04:30:00,2.028,2.029,2.016,2.02,7125.8
2021-10-29 05:15:00,2.02,2.022,1.996,2.0,4334.4
2021-10-29 06:00:00,2.0,2.016,1.996,2.006,11888.9
2021-10-29 06:45:00,2.006,2.017,1.991,1.995,2753.4
2021-10-29 07:30:00,1.995,2.01,1.989,2.008,11512.9
2021-10-29 08:15:00,2.008,2.008,1.998,2.005,3212.4
2021-10-29 09:00:00,2.005,2.018,2.001,2.004,2819.5
2021-10-29 09:45:00,2.004,2.011,2.0,2.008,3805.6
2021-10-29 10:30:00,2.008,2.015,1.999,2.011,15914.100000000002
2021-10-29 11:15:00,2.011,2.015,2.0,2.005,4727.0
2021-10-29 12:00:00,2.005,2.017,2.001,2.009,12194.699999999999
2021-10-29 12:45:00,2.009,2.014,2.0,2.007,3071.5
2021-10-29 13:30:00,2.007,2.019,2.007,2.015,4746.8
2021-10-29 14:15:00,2.015,2.015,2.003,2.004,28151.0
2021-10-29 15:00:00,2.004,2.029,2.003,2.023,15913.0
2021-10-29 15:45:00,2.023,2.043,2.023,2.042,43160.4
2021-10-29 16:30:00,2.042,2.042,2.032,2.033,15041.0
2021-10-29 17:15:00,2.033,2.034,2.006,2.017,27606.100000000002
2021-10-29 18:00:00,2.017,2.021,2.015,2.019,5364.9
2021-10-29 18:45:00,2.019,2.02,2.005,2.012,16040.6
2021-10-29 19:30:00,2.012,2.02,2.012,2.017,10281.0
2021-10-29 20:15:00,2.017,2.02,2.014,2.017,37995.4
2021-10-29 21:00:00,2.017,2.023,2.013,2.02,12975.800000000001
2021-10-29 21:45:00,2.02,2.028,2.017,2.024,6103.8
2021-10-29 22:30:00,2.024,2.027,2.017,2.02,23454.2
2021-10-29 23:15:00,2.02,2.023,2.017,2.021,2335.5
2021-10-30 00:00:00,2.021,2.028,2.015,2.017,2495.8
2021-10-30 00:45:00,2.017,2.019,2.006,2.01,13499.2
2021-10-30 01:30:00,2.01,2.012,2.004,2.004,4800.1
2021-10-30 02:15:00,2.004,2.008,2.004,2.005,4300.1
2021-10-30 03:00:00,2.005,2.005,2.004,2.004,3608.3
2021-10-30 03:45:00,2.004,2.007,1.988,2.002,22441.8
2021-10-30 04:30:00,2.002,2.003,1.988,1.997,5363.0
2021-10-30 05:15:00,1.997,2.004,1.994,2.002,10015.6
2021-10-30 06:00:00,2.002,2.007,1.994,2.006,3134.7
2021-10-30 06:45:00,2.006,2.007,2.001,2.007,3455.4
2021-10-30 07:30:00,2.007,2.013,2.002,2.005,7373.3
2021-10-30 08:15:00,2.005,2.007,1.99,1.995,16630.6
2021-10-30 09:00:00,1.995,2.003,1.988,2.0,13899.6
2021-10-30 09:45:00,2.0,2.0,1.988,1.992,12248.7
2021-10-30 10:30:00,1.992,2.007,1.99,2.002,4807.5
2021-10-30 11:15:00,2.002,2.005,1.995,2.0,13729.699999999999
2021-10-30 12:00:00,2.0,2.001,1.992,1.992,5598.4
2021-10-30 12:45:00,1.992,1.995,1.98,1.991,14056.699999999999
2021-10-30 13:30:00,1.991,2.0,1.988,1.991,6424.900000000001
2021-10-30 14:15:00,1.991,1.991,1.955,1.962,15003.2
2021-10-30 15:00:00,1.962,1.979,1.961,1.976,4495.0
2021-10-30 15:45:00,1.976,1.988,1.972,1.984,4434.2
2021-10-30 16:30:00,1.984,1.984,1.968,1.973,7500.700000000001
2021-10-30 17:15:00,1.973,1.98,1.964,1.965,10577.6
2021-10-30 18:00:00,1.965,1.976,1.961,1.976,17804.6
2021-10-30 18:45:00,1.976,1.985,1.974,1.984,4965.0
2021-10-30 19:30:00,1.984,1.986,1.978,1.98,8860.8
2021-10-30 20:15:00,1.98,1.989,1.977,1.98,9149.699999999999
2021-10-30 21:00:00,1.98,1.981,1.966,1.973,10832.3
2021-10-30 21:45:00,1.973,1.974,1.95,1.952,7290.2
