datetime,open,high,low,close,volume
2021-07-05,35225.48,35239.23,32235.82,34246.51,68.135049
2021-07-12,34246.51,34650.0,31042.08,31778.75,204.910323
2021-07-19,31778.75,35386.12,29314.77,35348.21,531.508193
2021-07-26,35348.21,42566.0,35242.89,39851.08,1146.95807
2021-08-02,39851.08,45281.85,37348.85,43807.74,1193.886907
2021-08-09,43807.74,48107.0,42820.94,46979.44,1213.440116
2021-08-16,46979.44,49731.15,43950.0,49223.35,1403.107275
2021-08-23,49223.35,50424.0,46323.43,48756.58,1279.207451
2021-08-30,48756.58,51836.71,46500.0,51726.73,1656.10893
2021-09-06,51726.73,52818.37,43000.0,45986.0,2512.080761
2021-09-13,45986.0,48773.78,43381.99,47252.31,1976.158999
2021-09-20,47252.31,47338.82,39632.1,43127.93,2952.197278
2021-09-27,43127.93,49240.0,40769.0,48200.0,2180.649604
2021-10-04,48200.0,56550.0,46930.65,54668.53,6443.444647
2021-10-11,54668.53,62790.0,53950.83,61541.87,5475.966737
2021-10-18,61541.87,66934.88,59508.0,60873.54,5158.530482
2021-10-25,60873.54,63709.8,57948.02,61241.16,3508.092035
2021-11-01,61241.16,64270.92,59439.77,63239.98,2363.793851
2021-11-08,63239.98,68967.21,62304.06,65475.82,4038.286531
2021-11-15,65475.82,66293.41,55637.6,58658.24,5760.569188
2021-11-22,58658.24,59398.99,53272.61,57276.97,5173.746784
2021-11-29,57276.97,59160.16,42356.01,49371.16,8737.790736
2021-12-06,49371.16,51899.24,46780.0,50068.01,6926.643901
2021-12-13,50068.01,50175.57,45486.65,46681.75,6825.382139
2021-12-20,46681.75,51822.46,45566.01,50771.79,8258.716889
2021-12-27,50771.79,52072.17,45668.58,47286.53,14559.243585
2022-01-03,47286.53,47569.18,40521.62,41855.61,9207.075041
2022-01-10,41855.61,44414.76,39655.01,43080.24,7236.235376
2022-01-17,43080.24,43499.98,34021.01,36266.26,10418.280208
2022-01-24,36266.26,38903.48,32961.52,37944.21,9211.305488
2022-01-31,37944.21,42669.98,36244.75,42377.65,8468.844703
2022-02-07,42377.65,45799.0,41653.86,42051.54,12001.306962
2022-02-14,42051.54,44747.61,38000.0,38379.6,9039.00469
2022-02-21,38379.6,40315.83,34311.12,37662.03,12768.037417
2022-02-28,37662.03,45338.18,37436.93,38387.97,15642.815266
2022-03-07,38387.97,42582.09,37155.76,37773.52,29356.409961
2022-03-14,37773.52,42395.24,37565.23,41256.06,32479.646681
2022-03-21,41256.06,47000.0,40500.0,46841.13,31515.910954
2022-03-28,46841.13,48187.75,44214.81,46418.31,16379.275501
2022-04-04,46418.31,47195.58,41880.0,42151.82,23789.472975
2022-04-11,42151.82,42409.85,39180.89,39686.18,19903.476408
2022-04-18,39686.18,42972.47,38539.14,39456.9,23757.293735
2022-04-25,39456.9,40787.31,37380.0,38471.49,22355.203665
2022-05-02,38471.49,40032.79,33701.01,34046.76,31079.770739
2022-05-09,34046.76,34256.4,26782.62,31330.65,95878.867352
2022-05-16,31330.65,31330.65,28647.25,30288.62,27713.755949
2022-05-23,30288.62,30665.34,28003.34,29467.99,24882.407832
2022-05-30,29467.99,32397.99,29270.31,29920.8,29473.802481
2022-06-06,29920.8,31758.79,26559.85,26578.02,29369.075142
2022-06-13,26578.02,26886.83,17625.01,20574.08,71779.43833
2022-06-20,20574.08,21882.23,19641.65,21038.91,33189.294529
2022-06-27,21038.91,21546.11,18625.0,19315.27,37222.061279
2022-07-04,19315.27,22526.36,19053.02,20861.22,35043.315521
2022-07-11,20861.22,21674.99,18911.04,20801.77,32213.88463
2022-07-18,20801.77,24265.89,20764.1,22581.53,32087.204918
2022-07-25,22581.53,24668.16,20710.36,23305.12,26108.934075
2022-08-01,23305.12,23638.46,22404.72,23177.58,13676.051086
2022-08-08,23177.58,25040.0,22664.06,24303.56,15939.526393
2022-08-15,24303.56,25204.62,20768.12,21516.52,18546.61349
2022-08-22,21516.52,21897.64,19526.89,19555.66,17708.693302
2022-08-29,19555.66,20574.55,19541.52,20001.27,15119.119674
2022-09-05,20001.27,21865.56,18525.51,21823.17,66907.873716
2022-09-12,21823.17,22800.35,19335.0,19416.95,84118.423747
2022-09-19,19416.95,19973.62,18137.44,18806.85,138589.797088
2022-09-26,18806.85,20383.48,18468.11,19058.81,143034.991327
2022-10-03,19058.81,20460.0,18962.08,19438.5,109855.385266
2022-10-10,19438.5,19950.57,18160.47,19264.83,87219.154676
2022-10-17,19264.83,19704.7,18662.0,19569.0,84406.416394
2022-10-24,19569.0,21082.91,19156.01,20627.18,137395.89692
2022-10-31,20627.18,21480.0,20029.42,20908.35,96205.721307
2022-11-07,20908.35,21070.71,15530.0,16340.57,190419.267844
2022-11-14,16340.57,17188.88,15825.88,16278.35,54184.987675
2022-11-21,16278.35,16808.9,15484.34,16429.75,40460.208416
2022-11-28,16429.75,17317.71,16000.0,17105.45,34067.795032
2022-12-05,17105.45,17415.91,16689.0,17089.8,21673.191223
2022-12-12,17089.8,18378.5,16531.21,16738.48,38289.902245
2022-12-19,16738.48,17054.5,16267.82,16829.75,27384.263798
2022-12-26,16829.75,16969.33,16336.03,16616.03,24434.604467
2023-01-02,16616.03,17173.0,16545.47,17126.05,20010.817503
2023-01-09,17126.05,21255.78,17105.3,20873.6,51004.279552
2023-01-16,20873.6,23350.0,20406.25,22706.88,51904.892157
2023-01-23,22706.88,23957.85,22331.01,23746.27,37137.036034
2023-01-30,23746.27,24250.36,22500.0,22932.42,33332.910456
2023-02-06,22932.42,23448.0,21480.0,21780.45,26960.412835
2023-02-13,21780.45,25251.19,21360.0,24272.0,42185.202627
2023-02-20,24272.0,25285.6,22750.0,23556.01,27661.200745
2023-02-27,23556.01,24000.0,21971.09,22425.8,21547.397892
2023-03-06,22425.8,22596.96,19555.0,21994.24,46586.473588
2023-03-13,21994.24,28385.81,21815.25,27964.68,92996.02582
2023-03-20,27964.68,28868.0,26602.9,27970.73,65029.119457
2023-03-27,27970.73,29180.0,26505.0,28170.11,47239.079381
2023-04-03,28170.11,28779.7,27217.0,28320.0,28286.037495
2023-04-10,28320.0,31019.6,28163.59,30309.89,29653.908931
2023-04-17,30309.89,30480.0,27132.84,27589.68,38442.196448
2023-04-24,27589.68,30030.0,26963.11,29233.2,51251.735712
2023-05-01,29233.2,29827.37,27663.93,28434.04,44540.200109
2023-05-08,28434.04,28695.28,25811.56,26915.95,47310.028978
2023-05-15,26915.95,27656.91,26362.93,26746.01,30584.726321
2023-05-22,26746.01,28280.0,25877.31,28064.09,34991.864581
2023-05-29,28064.09,28442.0,26507.88,27117.45,36571.592816
