datetime,open,high,low,close,volume
2023-01-01 00:00:00,4.309,4.313,4.277,4.302,33436.754
2023-01-01 04:00:00,4.302,4.306,4.276,4.305,30827.035
2023-01-01 08:00:00,4.305,4.346,4.289,4.335,45639.474
2023-01-01 12:00:00,4.335,4.343,4.317,4.337,21191.438
2023-01-01 16:00:00,4.337,4.377,4.333,4.357,43270.141
2023-01-01 20:00:00,4.357,4.389,4.357,4.371,37771.635
2023-01-02 00:00:00,4.371,4.451,4.317,4.443,123175.907
2023-01-02 04:00:00,4.443,4.495,4.426,4.473,133486.129
2023-01-02 08:00:00,4.473,4.523,4.472,4.487,89234.334
2023-01-02 12:00:00,4.487,4.517,4.47,4.501,50925.931
2023-01-02 16:00:00,4.501,4.537,4.489,4.518,69666.572
2023-01-02 20:00:00,4.518,4.525,4.477,4.494,50334.851
2023-01-03 00:00:00,4.494,4.509,4.468,4.493,75403.987
2023-01-03 04:00:00,4.493,4.545,4.483,4.512,72911.521
2023-01-03 08:00:00,4.512,4.539,4.491,4.521,32360.337
2023-01-03 12:00:00,4.521,4.547,4.49,4.508,55270.799
2023-01-03 16:00:00,4.508,4.523,4.481,4.511,57644.807
2023-01-03 20:00:00,4.511,4.529,4.502,4.527,19845.216
2023-01-04 00:00:00,4.527,4.688,4.527,4.678,73660.628
2023-01-04 04:00:00,4.678,4.682,4.645,4.663,30755.913
2023-01-04 08:00:00,4.663,4.67,4.626,4.633,51688.764
2023-01-04 12:00:00,4.633,4.661,4.601,4.659,81830.2
2023-01-04 16:00:00,4.659,4.67,4.613,4.618,78752.79
2023-01-04 20:00:00,4.618,4.634,4.586,4.633,32379.263
2023-01-05 00:00:00,4.633,4.65,4.584,4.599,42125.405
2023-01-05 04:00:00,4.599,4.637,4.567,4.585,51073.771
2023-01-05 08:00:00,4.585,4.588,4.548,4.584,38552.385
2023-01-05 12:00:00,4.584,4.595,4.545,4.578,74137.108
2023-01-05 16:00:00,4.578,4.608,4.564,4.607,23463.515
2023-01-05 20:00:00,4.607,4.638,4.597,4.62,32094.171
2023-01-06 00:00:00,4.62,4.663,4.618,4.637,33449.111
2023-01-06 04:00:00,4.637,4.65,4.552,4.576,37789.76
