datetime,open,high,low,close,volume
2023-01-01 00:00:00,5.57,5.58,5.52,5.56,38338.656
2023-01-01 04:00:00,5.56,5.56,5.51,5.54,25477.886
2023-01-01 08:00:00,5.54,5.59,5.51,5.58,18472.345
2023-01-01 12:00:00,5.58,5.6,5.55,5.6,19525.656
2023-01-01 16:00:00,5.6,5.64,5.58,5.6,19556.78
2023-01-01 20:00:00,5.6,5.64,5.6,5.63,29791.931
2023-01-02 00:00:00,5.63,5.67,5.55,5.62,45137.074
2023-01-02 04:00:00,5.62,5.74,5.6,5.69,46124.549
2023-01-02 08:00:00,5.69,5.72,5.66,5.7,41879.987
2023-01-02 12:00:00,5.7,5.71,5.66,5.7,37700.958
2023-01-02 16:00:00,5.7,5.73,5.68,5.73,20383.108
2023-01-02 20:00:00,5.73,5.76,5.67,5.69,33609.28
2023-01-03 00:00:00,5.69,5.72,5.65,5.69,61602.603
2023-01-03 04:00:00,5.69,5.72,5.66,5.69,37948.957
2023-01-03 08:00:00,5.69,5.69,5.63,5.66,18253.755
2023-01-03 12:00:00,5.66,5.71,5.59,5.63,38853.391
2023-01-03 16:00:00,5.63,5.65,5.57,5.6,34587.622
2023-01-03 20:00:00,5.6,5.63,5.58,5.62,24088.663
2023-01-04 00:00:00,5.62,5.81,5.61,5.8,54039.716
2023-01-04 04:00:00,5.8,5.83,5.76,5.8,57363.78
2023-01-04 08:00:00,5.8,5.82,5.76,5.77,26730.958
2023-01-04 12:00:00,5.77,5.84,5.72,5.82,55819.674
2023-01-04 16:00:00,5.82,5.86,5.75,5.76,49954.416
2023-01-04 20:00:00,5.76,5.82,5.71,5.81,23812.82
2023-01-05 00:00:00,5.81,5.82,5.75,5.76,22537.069
2023-01-05 04:00:00,5.76,5.8,5.73,5.77,26550.689
2023-01-05 08:00:00,5.77,5.77,5.67,5.72,42891.579
2023-01-05 12:00:00,5.72,5.74,5.67,5.72,36918.68
2023-01-05 16:00:00,5.72,5.77,5.7,5.75,43632.635
2023-01-05 20:00:00,5.75,5.76,5.61,5.66,53298.888
2023-01-06 00:00:00,5.66,5.68,5.62,5.64,24226.86
2023-01-06 04:00:00,5.64,5.64,5.58,5.61,32018.547
2023-01-06 08:00:00,5.61,5.63,5.58,5.61,45305.197
2023-01-06 12:00:00,5.61,5.66,5.53,5.65,88881.828
2023-01-06 16:00:00,5.65,5.73,5.63,5.71,47693.688
2023-01-06 20:00:00,5.71,5.73,5.67,5.71,33227.509
2023-01-07 00:00:00,5.71,5.8,5.69,5.76,31877.881
2023-01-07 04:00:00,5.76,5.79,5.74,5.77,17911.046
2023-01-07 08:00:00,5.77,5.78,5.74,5.77,15143.779
2023-01-07 12:00:00,5.77,5.83,5.75,5.83,21676.766
2023-01-07 16:00:00,5.83,5.84,5.78,5.81,15240.431
2023-01-07 20:00:00,5.81,5.84,5.77,5.83,15219.003
2023-01-08 00:00:00,5.83,5.85,5.76,5.82,18890.212
2023-01-08 04:00:00,5.82,5.88,5.81,5.82,13237.271
2023-01-08 08:00:00,5.82,5.87,5.79,5.79,15297.713
2023-01-08 12:00:00,5.79,5.86,5.77,5.85,15088.14
2023-01-08 16:00:00,5.85,5.86,5.79,5.83,19062.994
2023-01-08 20:00:00,5.83,5.98,5.83,5.96,42425.291
2023-01-09 00:00:00,5.96,6.13,5.93,6.09,85369.51
2023-01-09 04:00:00,6.09,6.13,6.08,6.13,32161.583
2023-01-09 08:00:00,6.13,6.23,6.11,6.16,44326.335
2023-01-09 12:00:00,6.16,6.23,6.08,6.21,45549.999
2023-01-09 16:00:00,6.21,6.25,6.1,6.1,51587.946
2023-01-09 20:00:00,6.1,6.12,6.02,6.07,42249.287
2023-01-10 00:00:00,6.07,6.13,5.97,6.07,45305.846
2023-01-10 04:00:00,6.07,6.11,6.06,6.07,25922.514
2023-01-10 08:00:00,6.07,6.17,6.06,6.11,28580.447
2023-01-10 12:00:00,6.11,6.17,6.07,6.14,42792.823
2023-01-10 16:00:00,6.14,6.3,6.12,6.24,42157.672
2023-01-10 20:00:00,6.24,6.24,6.12,6.17,38104.699
2023-01-11 00:00:00,6.17,6.2,6.06,6.11,30954.841
2023-01-11 04:00:00,6.11,6.14,6.07,6.13,34988.828
2023-01-11 08:00:00,6.13,6.14,6.1,6.12,21374.265
2023-01-11 12:00:00,6.12,6.13,6.02,6.04,57292.68
2023-01-11 16:00:00,6.04,6.18,6.01,6.17,49182.046
2023-01-11 20:00:00,6.17,6.3,6.13,6.29,48265.93
2023-01-12 00:00:00,6.29,6.4,6.28,6.34,71816.182
2023-01-12 04:00:00,6.34,6.38,6.26,6.31,54450.794
2023-01-12 08:00:00,6.31,6.31,6.24,6.25,53234.546
2023-01-12 12:00:00,6.25,6.34,6.07,6.2,153921.238
2023-01-12 16:00:00,6.2,6.41,6.18,6.37,128582.248
2023-01-12 20:00:00,6.37,6.41,6.34,6.39,62431.035
2023-01-13 00:00:00,6.39,6.4,6.29,6.39,36379.09
2023-01-13 04:00:00,6.39,6.4,6.32,6.34,44717.476
2023-01-13 08:00:00,6.34,6.4186,6.32,6.3304,79315.127
2023-01-13 12:00:00,6.3304,6.3594,6.2606,6.3594,36684.824
2023-01-13 16:00:00,6.3594,6.4053,6.2885,6.3955,40001.158
2023-01-13 20:00:00,6.3955,6.6183,6.3896,6.6016,126174.509
2023-01-14 00:00:00,6.6016,6.93,6.5847,6.8189,454979.752
2023-01-14 04:00:00,6.8189,7.0578,6.7734,6.9953,140452.028
2023-01-14 08:00:00,6.9953,7.1064,6.4651,6.7292,225074.881
2023-01-14 12:00:00,6.7292,6.9071,6.6528,6.8064,138382.477
2023-01-14 16:00:00,6.8064,6.8397,6.7183,6.7892,81283.648
2023-01-14 20:00:00,6.7892,6.8865,6.7618,6.8548,75641.418
2023-01-15 00:00:00,6.8548,6.89,6.6685,6.7212,243418.059
2023-01-15 04:00:00,6.7212,6.7969,6.6927,6.7424,58783.797
2023-01-15 08:00:00,6.7424,6.7435,6.5998,6.6997,60528.494
2023-01-15 12:00:00,6.6997,6.8893,6.66,6.8873,100938.623
2023-01-15 16:00:00,6.8873,6.9277,6.7242,6.7264,176836.187
2023-01-15 20:00:00,6.7264,6.7274,6.6401,6.6969,100298.563
2023-01-16 00:00:00,6.6969,6.8798,6.6311,6.768,162771.703
