datetime,open,high,low,close,volume
2023-01-01 00:00:00,9.98,10.08,9.91,9.97,101547.08
2023-01-01 04:00:00,9.97,9.99,9.69,9.79,86225.469
2023-01-01 08:00:00,9.79,9.98,9.71,9.92,77489.446
2023-01-01 12:00:00,9.92,9.96,9.79,9.86,58231.721
2023-01-01 16:00:00,9.86,10.05,9.85,9.96,87455.773
2023-01-01 20:00:00,9.96,10.06,9.94,9.99,54181.265
2023-01-02 00:00:00,9.99,10.02,9.81,9.99,70972.748
2023-01-02 04:00:00,9.99,12.03,9.94,11.09,347600.166
2023-01-02 08:00:00,11.09,11.36,10.87,11.03,366355.977
2023-01-02 12:00:00,11.03,11.24,11.01,11.12,165272.029
2023-01-02 16:00:00,11.12,11.49,11.08,11.27,107693.1
2023-01-02 20:00:00,11.27,11.45,11.2,11.29,115365.823
2023-01-03 00:00:00,11.29,11.34,11.01,11.23,129335.205
2023-01-03 04:00:00,11.23,12.03,11.21,11.95,279488.677
2023-01-03 08:00:00,11.95,12.02,11.7,11.86,114314.173
2023-01-03 12:00:00,11.86,13.22,11.78,13.07,388299.584
2023-01-03 16:00:00,13.07,13.81,12.51,12.93,429438.88
2023-01-03 20:00:00,12.93,13.5,12.93,13.38,181703.944
2023-01-04 00:00:00,13.38,14.05,13.25,13.58,322735.608
2023-01-04 04:00:00,13.58,14.19,13.3,14.15,245206.273
2023-01-04 08:00:00,14.15,14.17,13.55,13.64,166204.013
2023-01-04 12:00:00,13.64,13.74,13.17,13.36,163362.587
2023-01-04 16:00:00,13.36,13.66,13.09,13.18,164295.284
2023-01-04 20:00:00,13.18,13.64,12.83,13.44,172678.36
2023-01-05 00:00:00,13.44,13.44,13.05,13.22,128543.97
2023-01-05 04:00:00,13.22,13.48,13.14,13.24,101066.238
2023-01-05 08:00:00,13.24,13.32,12.94,13.28,100046.404
2023-01-05 12:00:00,13.28,13.4,13.05,13.29,110533.416
2023-01-05 16:00:00,13.29,13.48,13.07,13.4,80498.217
2023-01-05 20:00:00,13.4,13.86,13.36,13.44,136211.28
2023-01-06 00:00:00,13.44,13.57,13.15,13.2,75442.619
2023-01-06 04:00:00,13.2,13.25,13.04,13.13,68415.263
2023-01-06 08:00:00,13.13,13.25,12.88,13.0,63900.982
2023-01-06 12:00:00,13.0,13.2,12.7,13.19,159454.979
2023-01-06 16:00:00,13.19,13.42,13.07,13.35,109897.623
2023-01-06 20:00:00,13.35,13.6,13.17,13.51,81905.326
2023-01-07 00:00:00,13.51,13.51,13.29,13.33,37218.284
2023-01-07 04:00:00,13.33,13.33,13.2,13.29,21285.53
2023-01-07 08:00:00,13.29,13.32,13.13,13.16,23048.131
2023-01-07 12:00:00,13.16,13.29,13.14,13.29,16099.534
2023-01-07 16:00:00,13.29,13.29,13.19,13.23,9872.097
2023-01-07 20:00:00,13.23,13.25,13.02,13.1,31594.953
2023-01-08 00:00:00,13.1,13.42,12.86,13.37,105242.805
2023-01-08 04:00:00,13.37,13.43,13.26,13.34,23365.929
2023-01-08 08:00:00,13.34,13.77,13.29,13.51,55269.254
2023-01-08 12:00:00,13.51,13.93,13.44,13.87,80723.588
2023-01-08 16:00:00,13.87,13.89,13.48,13.55,79582.47
2023-01-08 20:00:00,13.55,14.96,13.54,14.46,139020.593
2023-01-09 00:00:00,14.46,16.8,14.28,16.04,472678.23
2023-01-09 04:00:00,16.04,16.53,15.92,16.36,241424.046
2023-01-09 08:00:00,16.36,16.81,16.1,16.36,208108.463
2023-01-09 12:00:00,16.36,17.5,16.1,17.14,328351.236
2023-01-09 16:00:00,17.14,17.36,16.23,16.28,286364.945
2023-01-09 20:00:00,16.28,16.66,16.02,16.26,154240.727
2023-01-10 00:00:00,16.26,16.58,15.56,15.98,126545.714
2023-01-10 04:00:00,15.98,16.31,15.87,15.89,115720.338
2023-01-10 08:00:00,15.89,16.36,15.82,16.04,95097.179
2023-01-10 12:00:00,16.04,16.48,15.82,16.24,169444.299
2023-01-10 16:00:00,16.24,16.47,16.04,16.39,86661.702
2023-01-10 20:00:00,16.39,16.72,16.15,16.19,78424.014
2023-01-11 00:00:00,16.19,16.32,15.88,16.03,73628.491
2023-01-11 04:00:00,16.03,16.15,15.85,16.11,54000.308
2023-01-11 08:00:00,16.11,16.14,15.96,16.04,34209.502
2023-01-11 12:00:00,16.04,16.04,15.31,15.42,86951.694
2023-01-11 16:00:00,15.42,16.12,15.28,16.01,95500.847
2023-01-11 20:00:00,16.01,16.61,15.75,16.37,129326.153
2023-01-12 00:00:00,16.37,17.01,16.14,16.43,180744.369
2023-01-12 04:00:00,16.43,16.5,16.16,16.25,63876.972
2023-01-12 08:00:00,16.25,16.25,15.9,16.08,72565.125
2023-01-12 12:00:00,16.08,16.5,15.51,15.97,285526.383
2023-01-12 16:00:00,15.97,16.8,15.91,16.53,198079.579
2023-01-12 20:00:00,16.53,16.71,16.3,16.6,99106.262
2023-01-13 00:00:00,16.6,16.85,16.31,16.72,71503.962
2023-01-13 04:00:00,16.72,17.35,16.71,16.89,151291.378
2023-01-13 08:00:00,16.89,17.1,16.55,16.68,78812.669
2023-01-13 12:00:00,16.68,16.86,16.46,16.81,82429.604
2023-01-13 16:00:00,16.81,17.2,16.52,17.18,123746.485
2023-01-13 20:00:00,17.18,18.61,17.02,18.29,330142.424
2023-01-14 00:00:00,18.29,22.83,18.2,21.93,1017066.759
2023-01-14 04:00:00,21.93,24.73,21.8,23.56,452389.869
2023-01-14 08:00:00,23.56,23.92,21.32,22.39,526010.89
2023-01-14 12:00:00,22.39,23.61,21.78,22.33,501628.523
2023-01-14 16:00:00,22.33,23.42,22.14,23.07,340596.956
2023-01-14 20:00:00,23.07,24.77,22.5,24.24,309049.66
2023-01-15 00:00:00,24.24,25.06,22.5,23.06,461974.776
2023-01-15 04:00:00,23.06,23.17,22.14,22.64,92275.949
2023-01-15 08:00:00,22.64,23.09,21.98,22.9,155015.033
2023-01-15 12:00:00,22.9,23.87,22.71,23.7,207240.428
2023-01-15 16:00:00,23.7,23.78,22.97,23.36,185696.454
2023-01-15 20:00:00,23.36,23.4,22.64,22.9,120110.297
2023-01-16 00:00:00,22.9,24.22,22.47,23.22,212858.788
2023-01-16 04:00:00,23.22,25.0,23.03,24.25,275117.522
2023-01-16 08:00:00,24.25,24.25,22.86,23.38,196917.348
2023-01-16 12:00:00,23.38,23.56,22.27,23.1,237742.375
2023-01-16 16:00:00,23.1,23.81,22.85,23.59,290733.97
2023-01-16 20:00:00,23.59,24.29,23.34,23.6,204665.778
2023-01-17 00:00:00,23.6,23.82,22.78,23.2,185181.987
2023-01-17 04:00:00,23.2,23.83,23.16,23.41,124674.189
2023-01-17 08:00:00,23.41,23.98,23.37,23.76,97495.182
2023-01-17 12:00:00,23.76,23.95,23.14,23.27,160323.117
2023-01-17 16:00:00,23.27,23.56,23.03,23.43,74937.888
2023-01-17 20:00:00,23.43,23.68,22.7,22.86,91454.146
2023-01-18 00:00:00,22.86,23.32,22.63,23.05,124582.223
2023-01-18 04:00:00,23.05,23.3,22.85,22.98,62713.673
2023-01-18 08:00:00,22.98,22.98,22.12,22.54,104855.469
2023-01-18 12:00:00,22.54,23.65,20.73,21.78,266894.453
2023-01-18 16:00:00,21.78,22.29,20.32,21.75,529146.268
2023-01-18 20:00:00,21.75,21.87,20.7,20.8,167479.432
2023-01-19 00:00:00,20.8,21.55,20.78,21.36,91063.513
2023-01-19 04:00:00,21.36,21.79,21.27,21.28,64920.678
2023-01-19 08:00:00,21.28,21.49,20.81,20.93,78822.444
2023-01-19 12:00:00,20.93,21.18,20.42,21.08,138963.255
2023-01-19 16:00:00,21.08,21.73,20.84,21.65,161170.942
2023-01-19 20:00:00,21.65,21.87,21.31,21.43,66315.648
2023-01-20 00:00:00,21.43,21.63,21.01,21.33,100598.668
2023-01-20 04:00:00,21.33,21.39,20.94,21.07,49980.568
2023-01-20 08:00:00,21.07,21.25,20.97,21.14,32664.699
2023-01-20 12:00:00,21.14,21.54,21.1,21.42,61128.44
2023-01-20 16:00:00,21.42,23.43,21.42,23.29,259669.855
2023-01-20 20:00:00,23.29,25.82,23.29,25.51,431532.877
2023-01-21 00:00:00,25.51,25.86,24.18,24.83,320389.017
2023-01-21 04:00:00,24.83,25.71,24.72,25.52,158030.046
2023-01-21 08:00:00,25.52,26.55,24.34,25.21,469828.64
2023-01-21 12:00:00,25.21,25.63,25.06,25.22,202811.253
2023-01-21 16:00:00,25.22,26.07,25.15,25.62,211516.531
2023-01-21 20:00:00,25.62,25.68,24.51,24.55,138656.322
2023-01-22 00:00:00,24.55,25.33,24.39,24.99,183412.113
2023-01-22 04:00:00,24.99,25.44,24.93,25.14,72725.657
2023-01-22 08:00:00,25.14,25.31,24.78,24.89,74739.811
2023-01-22 12:00:00,24.89,25.4,24.65,24.96,113198.584
2023-01-22 16:00:00,24.96,25.27,24.73,24.89,74600.637
2023-01-22 20:00:00,24.89,24.92,23.48,24.21,224132.453
2023-01-23 00:00:00,24.21,24.92,24.08,24.52,78979.268
2023-01-23 04:00:00,24.52,24.78,24.34,24.47,39764.417
2023-01-23 08:00:00,24.47,24.8,24.18,24.63,60583.677
2023-01-23 12:00:00,24.63,24.9,23.68,24.18,211867.256
2023-01-23 16:00:00,24.18,24.75,23.98,24.18,107980.612
2023-01-23 20:00:00,24.18,24.51,24.04,24.32,46990.282
2023-01-24 00:00:00,24.32,25.22,24.05,24.98,83024.958
2023-01-24 04:00:00,24.98,25.0,24.62,24.79,38826.235
2023-01-24 08:00:00,24.79,24.95,24.3,24.46,75979.2
2023-01-24 12:00:00,24.46,24.57,24.01,24.48,106981.472
2023-01-24 16:00:00,24.48,24.52,24.08,24.45,36670.906
2023-01-24 20:00:00,24.45,24.49,22.25,22.78,184062.691
2023-01-25 00:00:00,22.78,22.98,22.24,22.93,107743.005
2023-01-25 04:00:00,22.93,23.43,22.87,23.28,49439.88
2023-01-25 08:00:00,23.28,23.39,22.97,23.13,56194.738
2023-01-25 12:00:00,23.13,24.56,22.71,23.33,254828.327
2023-01-25 16:00:00,23.33,23.78,23.24,23.73,64172.148
2023-01-25 20:00:00,23.73,25.43,23.73,24.5,213804.06
2023-01-26 00:00:00,24.5,25.23,24.43,24.79,81000.73
2023-01-26 04:00:00,24.79,24.93,24.25,24.39,48097.555
2023-01-26 08:00:00,24.39,24.59,24.08,24.32,60990.868
2023-01-26 12:00:00,24.32,25.12,24.08,24.26,234650.293
